Area,Price,BHK_Count,Rate per sqft,Status,Property Type,Locality,Builder Name,RERA Approval,,Socity,Company Name,Flat Type
1539,13400000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Yasir,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1440,12600000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1440,12600000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1575,13700000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1575,13700000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,home,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1539,13400000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Property In Gurgaon,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1539,13400000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,properties for sale in Gurgaon,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1440,12600000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1440,12600000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1125,9856000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1125,9856000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1395,12200000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1395,12200000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1296,11300000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
1296,11300000,0,8761,New,Residential Plot in Meffier Golden Park,Sector 4 Sohna,Vijayata Enterprises,Approved by RERA,, Meffier Golden Park,Meffier,Plot
2250,18500000,3,8250,Under Construction,3 BHK Apartment in Navraj The Antalya,Sector 37D,Vijayata Enterprises,Approved by RERA,, Navraj The Antalya,Navraj,Apartment
2553,21000000,4,8250,Under Construction,4 BHK Apartment in Navraj The Antalya,Sector 37D,Vijayata Enterprises,Approved by RERA,, Navraj The Antalya,Navraj,Apartment
2071,17000000,3,8250,Under Construction,3 BHK Apartment in Navraj The Antalya,Sector 37D,Vijayata Enterprises,Approved by RERA,, Navraj The Antalya,Navraj,Apartment
4518,45000000,4,9960,Ready to move,4 BHK Independent Floor in Palm Floor DLF Phase 3,DLF Phase 3,Sharma realtors solution,Not approved by RERA,, Palm Floor DLF Phase 3,Palm,Floor
240,55200000,3,"2,30,000 ",Resale,Residential Plot in Reputed Builder Sushant Lok 3,Sector 57,Sharma realtors solution,Not approved by RERA,, Reputed Builder Sushant Lok 3,Reputed,Plot
333,76500000,0,"2,30,000 ",Resale,Residential Plot,Sector 57,Sharma realtors solution,Not approved by RERA,,Outside Socity,Outside,Plot
263,51200000,0,"1,95,000 ",Resale,Residential Plot,Sector 57,Ankit Khanna,Not approved by RERA,,Outside Socity,Outside,Plot
3762,87700000,3,23333,Resale,Residential Plot in Reputed Builder Sushant Lok 3,Sector 57,Vaishno Associates,Not approved by RERA,, Reputed Builder Sushant Lok 3,Reputed,Plot
208,50000000,0,"2,40,384 ",New,Residential Plot,Sector 57,Vaishno Associates,Not approved by RERA,,Outside Socity,Outside,Plot
204,44800000,0,"2,20,000 ",Resale,Residential Plot,Sector 57,home,Not approved by RERA,,Outside Socity,Outside,Plot
208,50000000,0,"2,40,384 ",New,Residential Plot,Sector 57,Property In Gurgaon,Not approved by RERA,,Outside Socity,Outside,Plot
1035,27500000,0,26570,Resale,Residential Plot,Sector 49,properties for sale in Gurgaon,Not approved by RERA,,Outside Socity,Outside,Plot
3762,87700000,3,23333,Resale,Residential Plot in Reputed Builder Sushant Lok 3,Sector 57,Vaishno Associates,Not approved by RERA,, Reputed Builder Sushant Lok 3,Reputed,Plot
263,52600000,0,"2,00,000 ",Resale,Residential Plot,Sector 57,Vaishno Associates,Not approved by RERA,,Outside Socity,Outside,Plot
350,108500000,0,"3,10,000 ",Resale,Residential Plot,Sector 46,Vaishno Associates,Not approved by RERA,,Outside Socity,Outside,Plot
1496,13400000,3,9007,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,Vaishno Associates,Approved by RERA,, Signature Global City 93,Signature,Apartment
1530,13000000,3,8496,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,Vaishno Associates,Approved by RERA,, Signature Global City 93,Signature,Apartment
1496,13400000,3,9007,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,Vaishno Associates,Approved by RERA,, Signature Global City 93,Signature,Apartment
1118,10100000,2,9111,Under Construction,2 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1530,13000000,3,8496,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1328,12000000,3,9046,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1118,10100000,2,9111,Under Construction,2 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
981,8000000,2,8154,Under Construction,2 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1328,12000000,3,9046,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1335,12000000,3,9044,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
981,8000000,2,8154,Under Construction,2 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1235,11200000,3,9072,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1335,12000000,3,9044,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
1235,11200000,3,9072,Under Construction,3 BHK Apartment in Signature Global City 93,Sector 93,GURUGRAM LANDBASE,Approved by RERA,, Signature Global City 93,Signature,Apartment
2200,24400000,4,11136,Ready to move,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,home,Not approved by RERA,, 4S 4S Aradhya Homes,4S,Apartment
2450,29500000,4,12041,Ready to move,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,Property In Gurgaon,Not approved by RERA,, 4S 4S Aradhya Homes,4S,Apartment
2300,25500000,4,11087,Ready to move,4 BHK Apartment in 4S 4S Aradhya Homes,Sector 67,properties for sale in Gurgaon,Not approved by RERA,, 4S 4S Aradhya Homes,4S,Apartment
1530,18700000,0,12222,Resale,Residential Plot in Skywhales Vienna Greens,Sector 99A,Investor's Landbase,Not approved by RERA,, Skywhales Vienna Greens,Skywhales,Plot
1107,13500000,0,12222,New,Residential Plot in Skywhales Vienna Greens,Sector 99A,Investor's Landbase,Not approved by RERA,, Skywhales Vienna Greens,Skywhales,Plot
1593,29900000,112,18777,Resale,Residential Plot in Rishali Luxe Residency 112,Sector 112,Investor's Landbase,Not approved by RERA,, Rishali Luxe Residency 112,Rishali,Plot
1071,20100000,112,18777,Resale,Residential Plot in Rishali Luxe Residency 112,Sector 112,Dream Home Realty,Not approved by RERA,, Rishali Luxe Residency 112,Rishali,Plot
1350,17200000,0,12777,Resale,Residential Plot in Satya Merano Greens,Sector 99A,Dream Home Realty,Not approved by RERA,, Satya Merano Greens,Satya,Plot
1330,292600000,2,"2,20,000 ",Under Construction,2 BHK Apartment in M3M Capital,Sector 113,Dream Home Realty,Approved by RERA,, M3M Capital,M3M,Apartment
2060,453200000,4,"2,20,000 ",Under Construction,4 BHK Apartment in M3M Capital,Sector 113,Dream Home Realty,Approved by RERA,, M3M Capital,M3M,Apartment
1665,366300000,3,"2,20,000 ",Under Construction,3 BHK Apartment in M3M Capital,Sector 113,Dream Home Realty,Approved by RERA,, M3M Capital,M3M,Apartment
2298,505500000,4,"2,20,000 ",Under Construction,4 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
2100,462000000,4,"2,20,000 ",Under Construction,4 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
1695,372900000,3,"2,20,000 ",Under Construction,3 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
2055,452100000,4,"2,20,000 ",Under Construction,4 BHK Apartment in M3M Capital,Sector 113,Vinit tomar,Approved by RERA,, M3M Capital,M3M,Apartment
